Salem,OR,44.94124711,-123.0042352
Ellsworth,ME,44.6513,-68.4507
San Antonio,TX,29.48886592,-98.47524044
Port Saint Lucie,FL,27.2856863,-80.36344364
Whitefish,MT,48.4111,-114.3376
Duxbury,MA,42.04949014,-70.69308169
Studio City,CA,34.13826477,-118.3920568
Hernando,FL,28.9356,-82.3895
Rockville,MD,39.07793837,-77.14956651
Redlands,CA,34.03061422,-117.1497536
Alexandria,IN,40.2494,-85.6708
O'Fallon,MO,38.8251,-90.7289
San Diego,CA,32.78722908,-117.1402677
Wellton,AZ,32.7001,-114.1754
Kaneohe,HI,21.4526301,-157.8284456
Key West,FL,24.58480294,-81.68395882
Aurora,CO,39.68000199,-104.7929671
Waterville,ME,44.56136585,-69.55774878
San Lorenzo,CA,37.681,-122.1244
Carson City,MI,43.1876,-84.8551
Sumner,WA,47.1725,-122.1845
East Hanover,NJ,40.824,-74.3687
Ironwood,MI,46.4823,-90.154
Columbus,OH,40.00341687,-82.99822087
Provo,UT,40.27123157,-111.6240043
Blackfoot,ID,43.2779,-112.5627
Kittery,ME,43.1153,-70.7051
Jamestown,NY,42.10444318,-79.25187348
Huntington Park,CA,33.9775,-118.2133
Chico,CA,39.77638902,-121.8275963
Rockford,IL,42.27738134,-89.04477791
Greeneville,TN,36.1816,-82.8417
Westminster,CO,39.86919778,-105.0420067
El Paso,TX,31.79232818,-106.3748489
Palm Desert,CA,33.73731449,-116.3779536
Ladson,SC,32.9831,-80.1223
Las Vegas,NV,36.14124586,-115.1865919
Wagoner,OK,35.96097333,-95.3941
Arcadia,CA,34.1326359,-118.0365487
Wayzata,MN,44.9752,-93.5275
Troy,MI,42.56675798,-83.15395782
Elmer,NJ,39.5455,-75.1959
River Falls,WI,44.8371,-92.5917
Montvale,VA,37.414,-79.7242
Cincinnati,OH,39.17450312,-84.48136299
Lufkin,TX,31.31522324,-94.74656595
Lynnwood,WA,47.82361835,-122.2948047
Garden Grove,CA,33.77568084,-117.9588831
Indiana,PA,40.62226047,-79.14650078
Fallon,NV,39.503644,-118.3094
Lower Lake,CA,38.8898,-122.5532
Tucson,AZ,32.25994076,-110.9275423
Snoqualmie,WA,47.5336,-121.7997
Glendale,CA,34.1593127,-118.2528196
Golden,CO,39.74054676,-105.2699921
Glendale,AZ,33.57603491,-112.1943924
Buena Park,CA,33.85897941,-118.0004103
Methuen,MA,42.7324,-71.1862
Arlington,WA,48.1853,-121.6778
Wasilla,AK,61.53757925,-149.5421038
Lakeport,CA,39.0429,-122.9158
Joliet,IL,41.52893609,-88.12235015
Hayward,CA,37.65029014,-122.0760055
Los Angeles,CA,34.05070709,-118.2799351
Amargosa Valley,NV,36.5349,-116.473
Johnstown,PA,40.31809857,-78.90465429
Buckhannon,WV,38.9822,-80.2008
Goshen,NY,41.3789,-74.3637
San Jose,CA,37.33884202,-121.8897057
West Manchester,OH,39.8946,-84.6103
Kerman,CA,36.7144,-120.1561
Grand Rapids,MI,42.94334184,-85.64301557
Fort Collins,CO,40.55069823,-105.077295
Concord,MA,42.4586,-71.3597
Lake Shasta,CA,40.68887619,-122.3765143
Derby,CT,41.3333,-73.1019
Reno,NV,39.50650741,-119.8174511
Memphis,TN,35.12547266,-89.92692482
Richmond,OH,40.438,-80.763
Seattle,WA,47.60904639,-122.3260283
Hobe Sound,FL,27.05459091,-80.14346909
Lima,OH,40.75656806,-84.10107592
Miami,FL,25.77414271,-80.2895185
Columbia,MO,38.91147669,-92.30242962
Hastings,MN,44.6849,-92.8849
Gulf Breeze,FL,30.3843725,-87.016175
Simi Valley,CA,34.26942403,-118.7627099
